referrer,views_total,views_unique
github.com,11119,5758
Google,4668,3577
agpt.co,3540,2088
chatgpt.com,916,481
Bing,551,300
doubao.com,239,98
aixploria.com,205,160
futurepedia.io,169,107
youtube.com,129,42
namu.wiki,123,71
